Distance_(pixels),Gray_Value
0,0.007843
1,0.015686
2,0.015686
3,0.023529
4,0.039216
5,0.015686
6,0.000000
7,0.000000
8,0.003922
9,0.031373
10,0.082353
11,0.101961
12,0.066667
13,0.035294
14,0.011765
15,0.003922
16,0.011765
17,0.019608
18,0.000000
19,0.000000
20,0.011765
21,0.011765
22,0.011765
23,0.031373
24,0.070588
25,0.090196
26,0.043137
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.007843
34,0.023529
35,0.031373
36,0.000000
37,0.000000
38,0.011765
39,0.047059
40,0.047059
41,0.000000
42,0.000000
43,0.000000
44,0.007843
45,0.011765
46,0.066667
47,0.054902
48,0.000000
49,0.000000
50,0.000000
51,0.000000
52,0.015686
53,0.007843
54,0.003922
55,0.000000
56,0.007843
57,0.011765
58,0.000000
59,0.000000
60,0.000000
61,0.015686
62,0.023529
63,0.011765
64,0.000000
65,0.000000
66,0.000000
67,0.031373
68,0.054902
69,0.023529
70,0.019608
71,0.074510
72,0.082353
73,0.015686
74,0.054902
75,0.086275
76,0.019608
77,0.000000
78,0.000000
79,0.000000
80,0.000000
81,0.000000
82,0.000000
83,0.000000
84,0.003922
85,0.000000
86,0.027451
87,0.145098
88,0.117647
89,0.000000
90,0.003922
91,0.027451
92,0.000000
93,0.043137
94,0.121569
95,0.082353
96,0.007843
97,0.000000
98,0.000000
99,0.031373
100,0.023529
101,0.031373
102,0.050980
103,0.043137
104,0.054902
105,0.074510
106,0.043137
107,0.000000
108,0.007843
109,0.058824
110,0.000000
111,0.000000
112,0.000000
113,0.000000
114,0.000000
115,0.000000
116,0.043137
117,0.000000
118,0.000000
119,0.070588
120,0.066667
121,0.000000
122,0.000000
123,0.000000
124,0.000000
125,0.000000
126,0.000000
127,0.000000
128,0.011765
129,0.031373
130,0.003922
131,0.000000
132,0.000000
133,0.000000
134,0.000000
135,0.000000
136,0.000000
137,0.000000
138,0.000000
139,0.000000
140,0.000000
141,0.000000
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.000000
147,0.172549
148,0.000000
149,0.000000
150,0.000000
151,0.000000
152,0.000000
153,0.247059
154,0.301961
155,0.000000
156,0.000000
157,0.000000
158,0.000000
159,0.000000
160,0.000000
161,0.000000
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
170,0.000000
171,0.000000
172,0.000000
173,0.000000
174,0.000000
175,0.000000
176,0.000000
177,0.000000
178,0.000000
179,0.349020
180,0.556863
181,0.156863
182,0.000000
183,0.000000
184,0.000000
185,0.000000
186,0.129412
187,0.305882
188,0.000000
189,0.000000
190,0.000000
191,0.000000
192,0.000000
193,0.000000
194,0.000000
195,0.000000
196,0.000000
197,0.054902
198,0.109804
199,0.513726
200,0.678431
201,0.733333
202,0.035294
203,0.211765
204,0.325490
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.047059
210,0.019608
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,0.000000
216,0.000000
217,0.207843
218,0.000000
219,0.000000
220,0.000000
221,0.000000
222,0.435294
223,0.447059
224,0.007843
225,0.000000
226,0.000000
227,0.000000
228,0.000000
229,0.000000
230,0.043137
231,0.000000
232,0.000000
233,0.133333
234,0.031373
235,0.062745
236,0.211765
237,0.168627
238,0.039216
239,0.011765
240,0.000000
241,0.000000
242,0.000000
243,0.047059
244,0.156863
245,0.250980
246,0.043137
247,0.000000
248,0.062745
249,0.043137
250,0.000000
251,0.000000
252,0.086275
253,0.090196
254,0.070588
255,0.086275
256,0.082353
257,0.074510
258,0.031373
259,0.098039
260,0.172549
261,0.035294
262,0.000000
263,0.015686
264,0.000000
265,0.000000
266,0.023529
267,0.062745
268,0.027451
269,0.000000
