Distance_(pixels),Gray_Value
0,4590
1,4590
2,8415
3,12750
4,12495
5,7650
6,5100
7,5610
8,12240
9,16575
10,11985
11,4845
12,5865
13,8415
14,7905
15,6630
16,5865
17,5610
18,4845
19,5100
20,7395
21,8160
22,6885
23,5355
24,6630
25,6630
26,7395
27,7905
28,6885
29,8415
30,9435
31,10200
32,10200
33,9435
34,7650
35,7395
36,7395
37,8160
38,5865
39,5100
40,9180
41,12750
42,7905
43,4590
44,5355
45,6375
46,5355
47,5610
48,5610
49,5355
50,5610
51,5865
52,5355
53,4590
54,6375
55,6375
56,8415
57,7905
58,5610
59,4590
60,6630
61,7905
62,9945
63,9180
64,6630
65,5100
66,6885
67,8160
68,5865
69,4335
70,6885
71,9690
72,7650
73,5610
74,5865
75,7140
76,6885
77,5865
78,5100
79,7650
80,7395
81,9180
82,10455
83,6630
84,4845
85,4845
86,5355
87,8415
88,7650
89,5865
90,5100
91,4335
92,4845
93,5100
94,5865
95,7140
96,7395
97,6885
98,5100
99,6120
100,6630
101,5610
102,5610
103,6120
104,7140
105,10200
106,8160
107,4845
108,5355
109,5100
110,8415
111,7395
112,4845
113,8415
114,7650
115,6120
116,5100
117,4590
118,5100
119,5610
120,6375
121,5610
122,4845
123,5865
124,8160
125,6375
126,4335
127,5610
128,8160
129,11475
130,9180
131,6885
132,5610
133,5355
134,7650
135,10710
136,8415
137,6885
138,8670
139,8670
140,5865
141,7905
142,10965
143,10455
144,9945
145,11475
146,13515
147,9180
148,5610
149,7395
150,9945
151,6630
152,4845
153,5100
154,5865
155,8415
156,7905
157,6120
158,5610
159,6630
160,9945
161,9180
162,5610
163,4845
164,4590
165,5100
166,6120
167,6120
168,7905
169,9180
170,7905
171,5865
172,6630
173,6375
174,5100
175,5610
176,7650
177,7140
178,5100
179,6120
180,5355
181,3825
182,4590
183,5100
184,7395
185,9435
186,8415
187,6120
188,7650
189,9945
190,8925
191,8925
192,8670
193,7905
194,6630
195,5100
196,3825
197,4335
198,4590
199,4590
200,7905
201,7140
202,6885
203,6120
204,4080
205,4080
206,5100
207,4845
208,4845
209,8415
210,9945
211,6120
212,4590
213,6120
214,6375
215,4845
216,4335
217,4845
218,4845
219,4335
220,3570
221,4845
222,5100
223,5355
224,6375
225,5865
226,4590
227,5610
228,9690
229,8670
230,10455
231,14025
232,10710
233,5100
234,6630
235,8160
236,6120
237,5100
238,4080
239,5100
240,5610
241,7395
242,10965
243,9180
244,6885
245,6375
246,5355
247,4335
248,4335
249,6120
250,8160
251,9690
252,8415
253,4845
254,4590
255,4590
256,4845
257,4590
258,5100
259,8415
260,10455
261,8925
262,4845
263,4845
264,6630
265,5610
266,4590
267,4335
268,5610
269,7395
270,7395
271,6375
272,5610
273,7395
274,7905
275,5610
276,5610
277,7140
278,6120
279,5355
280,9180
281,8670
282,7395
283,6630
284,6885
285,7140
286,7140
287,7395
288,7650
289,9180
290,12240
291,10200
292,5100
293,4845
294,5100
295,4590
296,6630
297,10200
298,9180
299,9435
300,7905
301,7905
302,7905
303,7650
304,6885
305,5610
306,4590
307,5355
308,4335
309,5610
310,6375
311,6375
312,6375
313,6375
314,6630
315,7650
316,6120
317,4080
318,4335
319,5100
320,6630
321,5355
322,7140
323,13260
324,10455
325,6120
326,6375
327,4335
328,7395
329,9435
330,8415
331,7395
332,9180
333,9945
334,12240
335,12240
336,9690
337,13770
338,15300
339,9435
340,5100
341,6120
342,6630
343,5865
344,5610
345,9945
346,17595
347,15300
348,9180
349,7905
350,8925
351,7905
352,6120
353,6885
354,10455
355,9180
356,7905
357,6120
358,5100
359,4335
360,4845
361,4590
362,4845
363,5610
364,5100
365,6885
366,5865
367,5865
368,5865
369,7905
370,10965
371,9435
372,6375
373,6885
374,7650
375,6630
376,5610
377,5610
378,6885
379,11475
380,10200
381,4590
382,6630
383,9945
384,7140
385,5355
386,6120
387,8925
388,9435
389,9180
390,7905
391,6120
392,5610
393,6375
394,7395
395,6630
396,5610
397,6120
398,5865
399,5610
400,4845
401,8925
402,12495
403,9690
404,5865
405,5610
406,6885
407,7650
408,6375
409,5100
410,5865
411,8670
412,7395
413,7140
414,8415
415,6120
416,6630
417,8415
418,8670
419,8160
420,7905
421,7395
422,6120
423,7140
424,7140
425,5100
426,4590
427,5865
428,5355
429,6375
430,9945
431,12495
432,12495
433,8925
434,5355
435,5865
436,4590
437,9690
438,18105
439,12750
440,7395
441,13515
442,13770
443,10710
444,7395
445,8670
446,17850
447,17340
448,8670
449,6375
450,7905
451,8415
452,5865
453,5100
454,7395
455,8415
456,7650
457,9435
458,10710
459,8160
460,5610
461,8160
462,7140
463,10455
464,16320
465,9180
466,8415
467,15300
468,20145
469,13515
470,5865
471,5865
472,8160
473,8670
474,14535
475,21420
476,30855
477,37485
478,36210
479,27030
480,14790
481,6375
482,6375
483,9435
484,9690
485,9180
486,5610
487,6630
488,6375
489,6120
490,12240
491,12240
492,8670
493,7140
494,7395
495,7650
496,9435
497,7395
498,6630
499,8160
500,8925
501,10200
502,8925
503,8925
504,18360
505,19635
506,12240
507,8160
508,10965
509,20145
510,20655
511,12240
512,18360
513,26265
514,14025
515,20655
516,28560
517,22185
518,57120
519,65025
520,65025
521,65025
522,65025
523,65025
524,65025
525,65025
526,52020
527,61710
528,65025
529,63750
530,56610
531,65025
532,65025
533,65025
534,65025
535,65025
536,65025
537,65025
538,65025
539,65025
540,65025
541,65025
542,65025
543,65025
544,65025
545,65025
546,65025
547,57885
548,65025
549,65025
550,65025
551,65025
552,65025
553,65025
554,65025
555,65025
556,65025
557,65025
558,49725
559,65025
560,65025
561,65025
562,65025
563,65025
564,65025
565,65025
566,65025
567,65025
568,65025
569,65025
570,65025
571,65025
572,65025
573,65025
574,65025
575,65025
576,65025
577,65025
578,65025
579,65025
580,64770
581,65025
582,65025
583,65025
584,65025
585,65025
586,65025
587,65025
588,65025
589,65025
590,65025
591,65025
592,65025
593,65025
