Distance_(pixels),Gray_Value
0,0.000
1,4590.399
2,4590.798
3,5359.789
4,4336.596
5,5349.014
6,7652.395
7,8431.761
8,7398.192
9,5847.042
10,4338.991
11,4594.390
12,4840.211
13,5360.188
14,3597.934
15,5076.056
16,8108.920
17,7140.000
18,4866.549
19,4582.418
20,4350.962
21,5158.662
22,4906.456
23,5336.643
24,6865.845
25,6110.023
26,5823.498
27,9445.774
28,8381.479
29,4833.427
30,3605.916
31,4080.000
32,5813.920
33,9048.310
34,8415.000
35,4900.869
36,4306.268
37,3825.000
38,5294.343
39,5610.000
40,4860.962
41,3635.446
42,4096.761
43,3842.160
44,4827.441
45,5082.042
46,6556.573
47,6772.465
48,6572.535
49,6061.338
50,5119.953
51,4569.648
52,6229.742
53,6821.549
54,5290.352
55,6032.207
56,5399.695
57,5655.493
58,5679.437
59,5264.812
60,4892.887
61,3667.371
62,4845.000
63,3875.282
64,3927.160
65,3725.634
66,4080.000
67,5529.789
68,4872.136
69,4507.395
70,4052.066
71,3541.667
72,4137.465
73,4167.395
74,4364.530
75,5669.859
76,6392.958
77,7262.911
78,5193.380
79,4526.948
80,6311.150
81,9528.380
82,8068.615
83,6351.854
84,5368.169
85,6594.883
86,8351.150
87,6989.155
88,5020.587
89,4803.099
90,4370.916
91,3861.314
92,4043.286
93,4404.437
94,4222.465
95,3862.911
96,4296.690
97,4551.291
98,4335.000
99,4906.056
100,4964.718
101,4764.390
102,5151.479
103,4590.000
104,4678.991
105,4761.197
106,7056.596
107,7520.704
108,4888.099
109,3781.502
110,5135.517
111,5510.634
112,4245.610
113,4680.188
114,5428.028
115,4753.216
116,6537.418
117,6353.451
118,5421.643
119,9042.723
120,7951.690
121,5051.713
122,6240.517
123,6335.493
124,4951.549
125,5410.470
126,4895.282
127,5302.723
128,6324.319
129,5355.000
130,4689.366
131,6427.277
132,5565.704
133,5100.000
134,4696.948
135,6576.127
136,8067.817
137,7085.329
138,5520.211
139,7916.573
140,8288.896
141,6202.605
142,4958.333
143,4845.000
